text,entity_type,entity_value
Sara works at Meta in Tokyo since 1997-10-16,ORG,Meta
Sara works at Meta in Tokyo since 1997-10-16,GPE,Tokyo
Mary works at Google in Paris since 1984-02-23,PERSON,Mary
Mary works at Google in Paris since 1984-02-23,ORG,Google
Mary works at Google in Paris since 1984-02-23,GPE,Paris
Sara works at Microsoft in Paris since 2022-02-08,PERSON,Sara
Sara works at Microsoft in Paris since 2022-02-08,ORG,Microsoft
Sara works at Microsoft in Paris since 2022-02-08,GPE,Paris
Meta announced new projects starting 2022-08-05,ORG,Meta
Tokyo will host the event in 1983-04-08,GPE,Tokyo
Meta announced new projects starting 2022-12-16,ORG,Meta
Amazon announced new projects starting 2003-01-01,ORG,Amazon
Mary attended a conference on 1979-05-16,PERSON,Mary
Paris will host the event in 2022-02-04,GPE,Paris
Tokyo will host the event in 1999-03-26,GPE,Tokyo
Alex attended a conference on 2005-05-05,PERSON,Alex
Meta announced new projects starting 2005-11-13,ORG,Meta
Sara works at Amazon in New York since 1994-08-21,PERSON,Sara
Sara works at Amazon in New York since 1994-08-21,ORG,Amazon
John attended a conference on 1997-08-08,PERSON,John
Microsoft announced new projects starting 2012-05-15,ORG,Microsoft
Mary works at Meta in London since 1990-03-02,PERSON,Mary
Mary works at Meta in London since 1990-03-02,ORG,Meta
Mary works at Meta in London since 1990-03-02,GPE,London
Meta announced new projects starting 1977-12-23,ORG,Meta
Paris will host the event in 2014-09-30,GPE,Paris
Sara works at Google in Paris since 2003-09-23,PERSON,Sara
Sara works at Google in Paris since 2003-09-23,ORG,Google
Sara works at Google in Paris since 2003-09-23,GPE,Paris
Meta announced new projects starting 2002-02-15,ORG,Meta
Sara works at Google in London since 1994-05-11,PERSON,Sara
Sara works at Google in London since 1994-05-11,ORG,Google
Sara works at Google in London since 1994-05-11,GPE,London
The meeting with Sara from Microsoft is scheduled for 2017-06-06,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2017-06-06,ORG,Microsoft
Alex attended a conference on 1971-11-19,PERSON,Alex
The meeting with Mary from Amazon is scheduled for 2023-02-03,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 2023-02-03,ORG,Amazon
Mary attended a conference on 1990-11-03,PERSON,Mary
John attended a conference on 2009-11-20,PERSON,John
Alex works at Amazon in Paris since 2006-04-07,PERSON,Alex
Alex works at Amazon in Paris since 2006-04-07,ORG,Amazon
Alex works at Amazon in Paris since 2006-04-07,GPE,Paris
Google announced new projects starting 1989-02-12,ORG,Google
John works at Google in New York since 1993-10-21,PERSON,John
John works at Google in New York since 1993-10-21,ORG,Google
Paris will host the event in 2003-03-29,GPE,Paris
Alex attended a conference on 1976-09-25,PERSON,Alex
John works at Meta in New York since 1981-01-28,PERSON,John
John works at Meta in New York since 1981-01-28,ORG,Meta
Google announced new projects starting 2004-04-28,ORG,Google
Alex works at Microsoft in New York since 2002-02-28,PERSON,Alex
Alex works at Microsoft in New York since 2002-02-28,ORG,Microsoft
Google announced new projects starting 1992-07-29,ORG,Google
Mary works at Microsoft in Tokyo since 1991-08-29,PERSON,Mary
Mary works at Microsoft in Tokyo since 1991-08-29,ORG,Microsoft
Mary works at Microsoft in Tokyo since 1991-08-29,GPE,Tokyo
London will host the event in 2018-05-07,GPE,London
Mary attended a conference on 1992-07-18,PERSON,Mary
Sara works at Meta in New York since 1980-12-14,PERSON,Sara
Sara works at Meta in New York since 1980-12-14,ORG,Meta
The meeting with Alex from Meta is scheduled for 1991-06-18,PERSON,Alex
The meeting with Alex from Meta is scheduled for 1991-06-18,ORG,Meta
Google announced new projects starting 2024-03-17,ORG,Google
John works at Amazon in London since 1989-02-10,PERSON,John
John works at Amazon in London since 1989-02-10,ORG,Amazon
John works at Amazon in London since 1989-02-10,GPE,London
Google announced new projects starting 1992-09-30,ORG,Google
Sara works at Amazon in Tokyo since 1982-03-01,PERSON,Sara
Sara works at Amazon in Tokyo since 1982-03-01,ORG,Amazon
Sara works at Amazon in Tokyo since 1982-03-01,GPE,Tokyo
Sara works at Google in New York since 2007-06-13,PERSON,Sara
Sara works at Google in New York since 2007-06-13,ORG,Google
The meeting with Alex from Microsoft is scheduled for 1993-01-25,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 1993-01-25,ORG,Microsoft
Meta announced new projects starting 1980-03-25,ORG,Meta
Tokyo will host the event in 2014-11-19,GPE,Tokyo
Alex works at Google in Paris since 1988-11-01,PERSON,Alex
Alex works at Google in Paris since 1988-11-01,ORG,Google
Alex works at Google in Paris since 1988-11-01,GPE,Paris
Paris will host the event in 2012-07-26,GPE,Paris
The meeting with John from Microsoft is scheduled for 1974-05-22,PERSON,John
The meeting with John from Microsoft is scheduled for 1974-05-22,ORG,Microsoft
Amazon announced new projects starting 2005-12-05,ORG,Amazon
Google announced new projects starting 2003-09-23,ORG,Google
Amazon announced new projects starting 1989-07-25,ORG,Amazon
Tokyo will host the event in 2019-06-14,GPE,Tokyo
Tokyo will host the event in 1999-12-03,GPE,Tokyo
Sara works at Meta in Paris since 2017-04-04,PERSON,Sara
Sara works at Meta in Paris since 2017-04-04,ORG,Meta
Sara works at Meta in Paris since 2017-04-04,GPE,Paris
The meeting with John from Microsoft is scheduled for 1995-07-03,PERSON,John
The meeting with John from Microsoft is scheduled for 1995-07-03,ORG,Microsoft
The meeting with Mary from Microsoft is scheduled for 2015-12-07,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 2015-12-07,ORG,Microsoft
Microsoft announced new projects starting 2020-09-27,ORG,Microsoft
Microsoft announced new projects starting 2004-11-21,ORG,Microsoft
Mary works at Meta in New York since 1995-03-04,PERSON,Mary
Mary works at Meta in New York since 1995-03-04,ORG,Meta
Alex attended a conference on 1990-01-03,PERSON,Alex
John works at Microsoft in London since 2001-09-13,PERSON,John
John works at Microsoft in London since 2001-09-13,ORG,Microsoft
John works at Microsoft in London since 2001-09-13,GPE,London
Sara attended a conference on 2000-07-18,PERSON,Sara
Meta announced new projects starting 2006-06-10,ORG,Meta
Meta announced new projects starting 1971-02-10,ORG,Meta
Microsoft announced new projects starting 1984-06-20,ORG,Microsoft
London will host the event in 1975-09-02,GPE,London
The meeting with John from Amazon is scheduled for 1981-06-09,PERSON,John
The meeting with John from Amazon is scheduled for 1981-06-09,ORG,Amazon
Google announced new projects starting 1980-02-04,ORG,Google
Tokyo will host the event in 1997-10-20,GPE,Tokyo
Alex attended a conference on 1976-10-12,PERSON,Alex
The meeting with Mary from Google is scheduled for 2023-08-29,PERSON,Mary
The meeting with Mary from Google is scheduled for 2023-08-29,ORG,Google
Paris will host the event in 1975-04-24,GPE,Paris
Sara works at Microsoft in New York since 1972-07-28,PERSON,Sara
Sara works at Microsoft in New York since 1972-07-28,ORG,Microsoft
The meeting with John from Meta is scheduled for 1992-10-07,PERSON,John
The meeting with John from Meta is scheduled for 1992-10-07,ORG,Meta
Meta announced new projects starting 1970-10-21,ORG,Meta
John attended a conference on 2008-11-03,PERSON,John
London will host the event in 2003-07-21,GPE,London
The meeting with Mary from Google is scheduled for 2010-08-18,PERSON,Mary
The meeting with Mary from Google is scheduled for 2010-08-18,ORG,Google
The meeting with Alex from Microsoft is scheduled for 2023-10-15,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 2023-10-15,ORG,Microsoft
Google announced new projects starting 1974-08-30,ORG,Google
Alex works at Microsoft in New York since 1972-03-07,PERSON,Alex
Alex works at Microsoft in New York since 1972-03-07,ORG,Microsoft
John works at Meta in Tokyo since 1998-08-15,PERSON,John
John works at Meta in Tokyo since 1998-08-15,ORG,Meta
John works at Meta in Tokyo since 1998-08-15,GPE,Tokyo
Tokyo will host the event in 2006-01-14,GPE,Tokyo
Amazon announced new projects starting 2018-06-03,ORG,Amazon
Alex attended a conference on 2023-07-05,PERSON,Alex
Sara attended a conference on 2016-11-06,PERSON,Sara
London will host the event in 2001-04-15,GPE,London
Mary attended a conference on 1982-08-17,PERSON,Mary
Amazon announced new projects starting 1978-02-23,ORG,Amazon
Alex attended a conference on 1974-03-27,PERSON,Alex
Amazon announced new projects starting 2007-08-19,ORG,Amazon
London will host the event in 2009-08-09,GPE,London
Mary attended a conference on 1983-01-23,PERSON,Mary
London will host the event in 2021-05-23,GPE,London
Amazon announced new projects starting 1972-01-07,ORG,Amazon
Google announced new projects starting 1999-07-09,ORG,Google
John attended a conference on 2003-12-16,PERSON,John
The meeting with Alex from Meta is scheduled for 2020-09-30,PERSON,Alex
The meeting with Alex from Meta is scheduled for 2020-09-30,ORG,Meta
The meeting with Alex from Meta is scheduled for 1987-05-11,PERSON,Alex
The meeting with Alex from Meta is scheduled for 1987-05-11,ORG,Meta
Mary works at Google in London since 1986-03-26,PERSON,Mary
Mary works at Google in London since 1986-03-26,ORG,Google
Mary works at Google in London since 1986-03-26,GPE,London
Meta announced new projects starting 2024-12-17,ORG,Meta
Alex works at Google in Paris since 2023-01-28,PERSON,Alex
Alex works at Google in Paris since 2023-01-28,ORG,Google
Alex works at Google in Paris since 2023-01-28,GPE,Paris
The meeting with Sara from Amazon is scheduled for 2002-11-14,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 2002-11-14,ORG,Amazon
Tokyo will host the event in 2018-09-13,GPE,Tokyo
London will host the event in 2011-09-22,GPE,London
Mary works at Microsoft in Tokyo since 2005-08-23,PERSON,Mary
Mary works at Microsoft in Tokyo since 2005-08-23,ORG,Microsoft
Mary works at Microsoft in Tokyo since 2005-08-23,GPE,Tokyo
Meta announced new projects starting 1999-08-27,ORG,Meta
Meta announced new projects starting 1997-03-20,ORG,Meta
The meeting with Sara from Meta is scheduled for 2021-11-07,PERSON,Sara
The meeting with Sara from Meta is scheduled for 2021-11-07,ORG,Meta
Paris will host the event in 1975-01-18,GPE,Paris
Sara works at Meta in New York since 1984-09-05,PERSON,Sara
Sara works at Meta in New York since 1984-09-05,ORG,Meta
Microsoft announced new projects starting 1977-03-14,ORG,Microsoft
The meeting with Alex from Google is scheduled for 2019-03-13,PERSON,Alex
The meeting with Alex from Google is scheduled for 2019-03-13,ORG,Google
The meeting with Alex from Amazon is scheduled for 1992-07-04,PERSON,Alex
The meeting with Alex from Amazon is scheduled for 1992-07-04,ORG,Amazon
Google announced new projects starting 2006-09-13,ORG,Google
Microsoft announced new projects starting 2010-09-08,ORG,Microsoft
Sara works at Meta in Paris since 1974-08-23,PERSON,Sara
Sara works at Meta in Paris since 1974-08-23,ORG,Meta
Sara works at Meta in Paris since 1974-08-23,GPE,Paris
Mary works at Google in London since 2020-02-28,PERSON,Mary
Mary works at Google in London since 2020-02-28,ORG,Google
Mary works at Google in London since 2020-02-28,GPE,London
Sara attended a conference on 1983-03-26,PERSON,Sara
Meta announced new projects starting 2008-06-25,ORG,Meta
Mary attended a conference on 1972-07-13,PERSON,Mary
John works at Meta in Paris since 1976-10-03,PERSON,John
John works at Meta in Paris since 1976-10-03,ORG,Meta
John works at Meta in Paris since 1976-10-03,GPE,Paris
Meta announced new projects starting 1995-02-11,ORG,Meta
Sara works at Amazon in London since 1987-07-10,PERSON,Sara
Sara works at Amazon in London since 1987-07-10,ORG,Amazon
Sara works at Amazon in London since 1987-07-10,GPE,London
John attended a conference on 1982-03-03,PERSON,John
The meeting with Sara from Google is scheduled for 2009-04-14,PERSON,Sara
The meeting with Sara from Google is scheduled for 2009-04-14,ORG,Google
Meta announced new projects starting 1991-04-06,ORG,Meta
Tokyo will host the event in 1980-04-18,GPE,Tokyo
London will host the event in 2000-05-13,GPE,London
Google announced new projects starting 1974-10-06,ORG,Google
London will host the event in 2020-04-01,GPE,London
The meeting with Sara from Meta is scheduled for 1997-11-17,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1997-11-17,ORG,Meta
The meeting with John from Microsoft is scheduled for 2013-09-07,PERSON,John
The meeting with John from Microsoft is scheduled for 2013-09-07,ORG,Microsoft
Alex works at Meta in London since 2014-03-23,PERSON,Alex
Alex works at Meta in London since 2014-03-23,ORG,Meta
Alex works at Meta in London since 2014-03-23,GPE,London
The meeting with Sara from Microsoft is scheduled for 1992-05-01,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 1992-05-01,ORG,Microsoft
The meeting with Sara from Google is scheduled for 1971-10-29,PERSON,Sara
The meeting with Sara from Google is scheduled for 1971-10-29,ORG,Google
Paris will host the event in 2014-11-13,GPE,Paris
The meeting with Alex from Amazon is scheduled for 2019-04-18,PERSON,Alex
The meeting with Alex from Amazon is scheduled for 2019-04-18,ORG,Amazon
Paris will host the event in 1978-10-12,GPE,Paris
Amazon announced new projects starting 2017-04-03,ORG,Amazon
Paris will host the event in 1979-01-08,GPE,Paris
The meeting with John from Meta is scheduled for 2005-07-30,PERSON,John
The meeting with John from Meta is scheduled for 2005-07-30,ORG,Meta
Alex works at Meta in Tokyo since 1999-06-09,PERSON,Alex
Alex works at Meta in Tokyo since 1999-06-09,ORG,Meta
Alex works at Meta in Tokyo since 1999-06-09,GPE,Tokyo
The meeting with Alex from Google is scheduled for 1992-01-03,PERSON,Alex
The meeting with Alex from Google is scheduled for 1992-01-03,ORG,Google
Paris will host the event in 2018-10-29,GPE,Paris
John works at Microsoft in Tokyo since 1970-04-03,PERSON,John
John works at Microsoft in Tokyo since 1970-04-03,ORG,Microsoft
John works at Microsoft in Tokyo since 1970-04-03,GPE,Tokyo
John works at Microsoft in Tokyo since 1989-06-10,PERSON,John
John works at Microsoft in Tokyo since 1989-06-10,ORG,Microsoft
John works at Microsoft in Tokyo since 1989-06-10,GPE,Tokyo
Alex attended a conference on 1979-11-20,PERSON,Alex
Alex attended a conference on 2011-10-11,PERSON,Alex
Alex works at Amazon in Tokyo since 1997-01-10,PERSON,Alex
Alex works at Amazon in Tokyo since 1997-01-10,ORG,Amazon
Alex works at Amazon in Tokyo since 1997-01-10,GPE,Tokyo
Mary works at Microsoft in Paris since 2005-04-27,PERSON,Mary
Mary works at Microsoft in Paris since 2005-04-27,ORG,Microsoft
Mary works at Microsoft in Paris since 2005-04-27,GPE,Paris
The meeting with John from Amazon is scheduled for 2002-01-26,PERSON,John
The meeting with John from Amazon is scheduled for 2002-01-26,ORG,Amazon
Meta announced new projects starting 2006-07-23,ORG,Meta
The meeting with Alex from Amazon is scheduled for 2001-07-19,PERSON,Alex
The meeting with Alex from Amazon is scheduled for 2001-07-19,ORG,Amazon
London will host the event in 1988-01-07,GPE,London
Sara works at Google in Tokyo since 2016-03-14,PERSON,Sara
Sara works at Google in Tokyo since 2016-03-14,ORG,Google
Sara works at Google in Tokyo since 2016-03-14,GPE,Tokyo
Amazon announced new projects starting 1991-07-23,ORG,Amazon
London will host the event in 2016-06-10,GPE,London
Mary works at Amazon in London since 2024-11-19,PERSON,Mary
Mary works at Amazon in London since 2024-11-19,ORG,Amazon
Mary works at Amazon in London since 2024-11-19,GPE,London
John attended a conference on 1972-03-01,PERSON,John
Alex attended a conference on 1973-06-01,PERSON,Alex
Tokyo will host the event in 1977-12-21,GPE,Tokyo
John works at Amazon in Paris since 2011-08-19,PERSON,John
John works at Amazon in Paris since 2011-08-19,ORG,Amazon
John works at Amazon in Paris since 2011-08-19,GPE,Paris
Amazon announced new projects starting 2013-01-17,ORG,Amazon
John attended a conference on 2002-04-13,PERSON,John
Microsoft announced new projects starting 2020-07-24,ORG,Microsoft
The meeting with Mary from Google is scheduled for 1983-06-22,PERSON,Mary
The meeting with Mary from Google is scheduled for 1983-06-22,ORG,Google
Alex attended a conference on 2016-11-20,PERSON,Alex
The meeting with Sara from Google is scheduled for 1985-08-06,PERSON,Sara
The meeting with Sara from Google is scheduled for 1985-08-06,ORG,Google
Meta announced new projects starting 1973-06-21,ORG,Meta
John works at Amazon in New York since 1992-07-12,PERSON,John
John works at Amazon in New York since 1992-07-12,ORG,Amazon
John attended a conference on 2018-03-17,PERSON,John
The meeting with Sara from Microsoft is scheduled for 2004-06-22,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2004-06-22,ORG,Microsoft
Microsoft announced new projects starting 1991-05-06,ORG,Microsoft
Google announced new projects starting 1977-02-21,ORG,Google
Sara works at Microsoft in Paris since 2015-07-09,PERSON,Sara
Sara works at Microsoft in Paris since 2015-07-09,ORG,Microsoft
Sara works at Microsoft in Paris since 2015-07-09,GPE,Paris
John works at Microsoft in London since 2024-03-27,PERSON,John
John works at Microsoft in London since 2024-03-27,ORG,Microsoft
John works at Microsoft in London since 2024-03-27,GPE,London
Google announced new projects starting 1975-06-04,ORG,Google
The meeting with Alex from Microsoft is scheduled for 2019-08-20,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 2019-08-20,ORG,Microsoft
Amazon announced new projects starting 1998-11-24,ORG,Amazon
Alex attended a conference on 1990-09-25,PERSON,Alex
Sara works at Microsoft in Paris since 2013-11-14,PERSON,Sara
Sara works at Microsoft in Paris since 2013-11-14,ORG,Microsoft
Sara works at Microsoft in Paris since 2013-11-14,GPE,Paris
Mary works at Amazon in Paris since 1982-04-01,PERSON,Mary
Mary works at Amazon in Paris since 1982-04-01,ORG,Amazon
Mary works at Amazon in Paris since 1982-04-01,GPE,Paris
The meeting with John from Google is scheduled for 2012-02-24,PERSON,John
The meeting with John from Google is scheduled for 2012-02-24,ORG,Google
Meta announced new projects starting 2009-06-02,ORG,Meta
The meeting with John from Amazon is scheduled for 2017-03-09,PERSON,John
The meeting with John from Amazon is scheduled for 2017-03-09,ORG,Amazon
Sara attended a conference on 2010-06-27,PERSON,Sara
The meeting with John from Meta is scheduled for 2009-11-16,PERSON,John
The meeting with John from Meta is scheduled for 2009-11-16,ORG,Meta
Google announced new projects starting 1992-07-05,ORG,Google
Meta announced new projects starting 1998-10-05,ORG,Meta
Mary works at Meta in London since 1975-11-13,PERSON,Mary
Mary works at Meta in London since 1975-11-13,ORG,Meta
Mary works at Meta in London since 1975-11-13,GPE,London
The meeting with John from Google is scheduled for 2022-09-09,PERSON,John
The meeting with John from Google is scheduled for 2022-09-09,ORG,Google
Mary attended a conference on 1993-04-22,PERSON,Mary
Sara attended a conference on 1989-10-29,PERSON,Sara
Paris will host the event in 2016-02-16,GPE,Paris
Google announced new projects starting 1989-07-20,ORG,Google
Tokyo will host the event in 1974-09-22,GPE,Tokyo
The meeting with Mary from Google is scheduled for 1993-02-03,PERSON,Mary
The meeting with Mary from Google is scheduled for 1993-02-03,ORG,Google
John attended a conference on 2015-10-02,PERSON,John
Alex attended a conference on 2024-11-23,PERSON,Alex
The meeting with John from Amazon is scheduled for 2002-06-01,PERSON,John
The meeting with John from Amazon is scheduled for 2002-06-01,ORG,Amazon
Microsoft announced new projects starting 1978-10-07,ORG,Microsoft
Alex attended a conference on 2023-09-19,PERSON,Alex
The meeting with Mary from Google is scheduled for 1978-12-31,PERSON,Mary
The meeting with Mary from Google is scheduled for 1978-12-31,ORG,Google
John attended a conference on 1995-05-20,PERSON,John
Sara attended a conference on 2022-07-13,PERSON,Sara
The meeting with John from Microsoft is scheduled for 1976-10-22,PERSON,John
The meeting with John from Microsoft is scheduled for 1976-10-22,ORG,Microsoft
Mary works at Google in New York since 1978-07-05,PERSON,Mary
Mary works at Google in New York since 1978-07-05,ORG,Google
Microsoft announced new projects starting 1995-12-23,ORG,Microsoft
Paris will host the event in 1994-01-22,GPE,Paris
Sara attended a conference on 1994-09-13,PERSON,Sara
Google announced new projects starting 1981-07-03,ORG,Google
Sara attended a conference on 2016-10-08,PERSON,Sara
Google announced new projects starting 1991-02-14,ORG,Google
Amazon announced new projects starting 1996-09-08,ORG,Amazon
Tokyo will host the event in 1972-10-24,GPE,Tokyo
Meta announced new projects starting 2007-05-12,ORG,Meta
London will host the event in 1994-07-26,GPE,London
Alex attended a conference on 2000-11-07,PERSON,Alex
John works at Google in Tokyo since 2023-06-13,PERSON,John
John works at Google in Tokyo since 2023-06-13,ORG,Google
John works at Google in Tokyo since 2023-06-13,GPE,Tokyo
Microsoft announced new projects starting 2004-09-08,ORG,Microsoft
Mary attended a conference on 2023-05-16,PERSON,Mary
London will host the event in 2019-01-01,GPE,London
Amazon announced new projects starting 1987-05-06,ORG,Amazon
Tokyo will host the event in 1992-06-19,GPE,Tokyo
The meeting with Alex from Meta is scheduled for 1973-03-03,PERSON,Alex
The meeting with Alex from Meta is scheduled for 1973-03-03,ORG,Meta
Google announced new projects starting 2008-05-25,ORG,Google
Amazon announced new projects starting 1983-08-20,ORG,Amazon
London will host the event in 2023-01-14,GPE,London
Alex attended a conference on 2002-03-24,PERSON,Alex
Sara attended a conference on 1976-12-06,PERSON,Sara
The meeting with Mary from Microsoft is scheduled for 1991-05-07,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 1991-05-07,ORG,Microsoft
John works at Microsoft in London since 1999-11-23,PERSON,John
John works at Microsoft in London since 1999-11-23,ORG,Microsoft
John works at Microsoft in London since 1999-11-23,GPE,London
Alex works at Meta in London since 2004-04-07,PERSON,Alex
Alex works at Meta in London since 2004-04-07,ORG,Meta
Alex works at Meta in London since 2004-04-07,GPE,London
Alex works at Meta in London since 2010-12-29,PERSON,Alex
Alex works at Meta in London since 2010-12-29,ORG,Meta
Alex works at Meta in London since 2010-12-29,GPE,London
Mary attended a conference on 1970-12-28,PERSON,Mary
Alex works at Google in Tokyo since 1979-02-06,PERSON,Alex
Alex works at Google in Tokyo since 1979-02-06,ORG,Google
Alex works at Google in Tokyo since 1979-02-06,GPE,Tokyo
The meeting with John from Microsoft is scheduled for 2001-03-02,PERSON,John
The meeting with John from Microsoft is scheduled for 2001-03-02,ORG,Microsoft
Alex attended a conference on 1983-01-28,PERSON,Alex
Paris will host the event in 2014-08-16,GPE,Paris
Amazon announced new projects starting 2001-01-15,ORG,Amazon
Mary attended a conference on 1977-11-02,PERSON,Mary
Microsoft announced new projects starting 2021-08-13,ORG,Microsoft
The meeting with Sara from Meta is scheduled for 1985-06-08,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1985-06-08,ORG,Meta
Alex works at Microsoft in Paris since 2003-09-07,PERSON,Alex
Alex works at Microsoft in Paris since 2003-09-07,ORG,Microsoft
Alex works at Microsoft in Paris since 2003-09-07,GPE,Paris
Mary attended a conference on 2008-04-02,PERSON,Mary
The meeting with Alex from Microsoft is scheduled for 1982-02-03,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 1982-02-03,ORG,Microsoft
Paris will host the event in 2018-06-15,GPE,Paris
Microsoft announced new projects starting 1984-02-14,ORG,Microsoft
The meeting with Sara from Meta is scheduled for 2009-07-28,PERSON,Sara
The meeting with Sara from Meta is scheduled for 2009-07-28,ORG,Meta
The meeting with John from Microsoft is scheduled for 2004-10-14,PERSON,John
The meeting with John from Microsoft is scheduled for 2004-10-14,ORG,Microsoft
Amazon announced new projects starting 1973-10-25,ORG,Amazon
Alex works at Amazon in Paris since 2017-09-11,PERSON,Alex
Alex works at Amazon in Paris since 2017-09-11,ORG,Amazon
Alex works at Amazon in Paris since 2017-09-11,GPE,Paris
Microsoft announced new projects starting 1975-06-17,ORG,Microsoft
John attended a conference on 2019-11-26,PERSON,John
The meeting with Sara from Google is scheduled for 1983-01-04,PERSON,Sara
The meeting with Sara from Google is scheduled for 1983-01-04,ORG,Google
The meeting with Sara from Amazon is scheduled for 2005-09-10,PERSON,Sara
