text,entity_type,entity_value
Sara works at Meta in New York since 2001-12-01,ORG,Meta
Google announced new projects starting 1970-01-21,ORG,Google
The meeting with Mary from Microsoft is scheduled for 2006-09-12,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 2006-09-12,ORG,Microsoft
The meeting with Mary from Microsoft is scheduled for 2015-02-07,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 2015-02-07,ORG,Microsoft
Mary works at Amazon in New York since 2009-01-16,PERSON,Mary
Mary works at Amazon in New York since 2009-01-16,ORG,Amazon
Microsoft announced new projects starting 2011-09-14,ORG,Microsoft
Meta announced new projects starting 1991-08-01,ORG,Meta
John attended a conference on 2021-12-05,PERSON,John
Tokyo will host the event in 1973-07-10,GPE,Tokyo
The meeting with John from Microsoft is scheduled for 1994-08-14,PERSON,John
The meeting with John from Microsoft is scheduled for 1994-08-14,ORG,Microsoft
Meta announced new projects starting 1973-12-23,ORG,Meta
Sara attended a conference on 1990-12-07,PERSON,Sara
The meeting with Alex from Google is scheduled for 2022-09-03,PERSON,Alex
The meeting with Alex from Google is scheduled for 2022-09-03,ORG,Google
Meta announced new projects starting 1988-04-29,ORG,Meta
Mary works at Amazon in London since 2014-08-05,PERSON,Mary
Mary works at Amazon in London since 2014-08-05,ORG,Amazon
Mary works at Amazon in London since 2014-08-05,GPE,London
Paris will host the event in 2022-04-17,GPE,Paris
Paris will host the event in 2003-05-06,GPE,Paris
John attended a conference on 1989-08-26,PERSON,John
Google announced new projects starting 2011-09-25,ORG,Google
Sara works at Microsoft in New York since 2019-01-10,PERSON,Sara
Sara works at Microsoft in New York since 2019-01-10,ORG,Microsoft
Mary attended a conference on 1984-01-31,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 2007-04-19,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 2007-04-19,ORG,Amazon
The meeting with Sara from Amazon is scheduled for 1986-08-12,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 1986-08-12,ORG,Amazon
The meeting with John from Amazon is scheduled for 1982-07-05,PERSON,John
The meeting with John from Amazon is scheduled for 1982-07-05,ORG,Amazon
The meeting with Sara from Microsoft is scheduled for 2021-07-14,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2021-07-14,ORG,Microsoft
The meeting with John from Microsoft is scheduled for 2022-09-13,PERSON,John
The meeting with John from Microsoft is scheduled for 2022-09-13,ORG,Microsoft
Paris will host the event in 1981-01-15,GPE,Paris
Meta announced new projects starting 2006-05-06,ORG,Meta
The meeting with Alex from Meta is scheduled for 1980-08-29,PERSON,Alex
The meeting with Alex from Meta is scheduled for 1980-08-29,ORG,Meta
Paris will host the event in 1986-09-03,GPE,Paris
Microsoft announced new projects starting 1980-03-09,ORG,Microsoft
John attended a conference on 2024-01-11,PERSON,John
John works at Amazon in Tokyo since 1986-12-31,PERSON,John
John works at Amazon in Tokyo since 1986-12-31,ORG,Amazon
John works at Amazon in Tokyo since 1986-12-31,GPE,Tokyo
Alex works at Microsoft in Tokyo since 2003-08-17,PERSON,Alex
Alex works at Microsoft in Tokyo since 2003-08-17,ORG,Microsoft
Alex works at Microsoft in Tokyo since 2003-08-17,GPE,Tokyo
John attended a conference on 2009-12-25,PERSON,John
Mary works at Meta in London since 1989-04-27,PERSON,Mary
Mary works at Meta in London since 1989-04-27,ORG,Meta
Mary works at Meta in London since 1989-04-27,GPE,London
The meeting with Sara from Google is scheduled for 1997-05-20,PERSON,Sara
The meeting with Sara from Google is scheduled for 1997-05-20,ORG,Google
Mary attended a conference on 2005-10-09,PERSON,Mary
Alex works at Microsoft in London since 2007-08-17,PERSON,Alex
Alex works at Microsoft in London since 2007-08-17,ORG,Microsoft
Alex works at Microsoft in London since 2007-08-17,GPE,London
Alex attended a conference on 1996-10-06,PERSON,Alex
Alex attended a conference on 1978-06-22,PERSON,Alex
The meeting with John from Meta is scheduled for 1974-03-13,PERSON,John
The meeting with John from Meta is scheduled for 1974-03-13,ORG,Meta
London will host the event in 2024-09-25,GPE,London
London will host the event in 1985-02-13,GPE,London
The meeting with John from Meta is scheduled for 2012-08-09,PERSON,John
The meeting with John from Meta is scheduled for 2012-08-09,ORG,Meta
Tokyo will host the event in 1998-05-17,GPE,Tokyo
Mary works at Microsoft in New York since 2002-07-14,PERSON,Mary
Mary works at Microsoft in New York since 2002-07-14,ORG,Microsoft
Alex attended a conference on 1978-09-05,PERSON,Alex
Tokyo will host the event in 1982-04-14,GPE,Tokyo
John works at Microsoft in Paris since 1994-08-30,PERSON,John
John works at Microsoft in Paris since 1994-08-30,ORG,Microsoft
John works at Microsoft in Paris since 1994-08-30,GPE,Paris
London will host the event in 2016-02-27,GPE,London
The meeting with Mary from Meta is scheduled for 2005-08-02,PERSON,Mary
The meeting with Mary from Meta is scheduled for 2005-08-02,ORG,Meta
Sara works at Google in Paris since 1975-12-31,PERSON,Sara
Sara works at Google in Paris since 1975-12-31,ORG,Google
Sara works at Google in Paris since 1975-12-31,GPE,Paris
Alex attended a conference on 2002-04-28,PERSON,Alex
Tokyo will host the event in 1991-04-29,GPE,Tokyo
The meeting with Mary from Amazon is scheduled for 1977-05-12,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 1977-05-12,ORG,Amazon
The meeting with Sara from Microsoft is scheduled for 2002-10-27,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2002-10-27,ORG,Microsoft
Sara attended a conference on 2000-05-15,PERSON,Sara
Paris will host the event in 1998-05-12,GPE,Paris
The meeting with Alex from Meta is scheduled for 2016-06-04,PERSON,Alex
The meeting with Alex from Meta is scheduled for 2016-06-04,ORG,Meta
Sara works at Meta in London since 1988-03-28,PERSON,Sara
Sara works at Meta in London since 1988-03-28,ORG,Meta
Sara works at Meta in London since 1988-03-28,GPE,London
Sara works at Amazon in Paris since 2012-07-19,PERSON,Sara
Sara works at Amazon in Paris since 2012-07-19,ORG,Amazon
Sara works at Amazon in Paris since 2012-07-19,GPE,Paris
Sara attended a conference on 1989-06-01,PERSON,Sara
Meta announced new projects starting 2023-07-06,ORG,Meta
The meeting with John from Meta is scheduled for 2016-03-31,PERSON,John
The meeting with John from Meta is scheduled for 2016-03-31,ORG,Meta
The meeting with Mary from Amazon is scheduled for 2002-08-03,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 2002-08-03,ORG,Amazon
Paris will host the event in 1977-12-17,GPE,Paris
Mary works at Microsoft in New York since 2002-12-21,PERSON,Mary
Mary works at Microsoft in New York since 2002-12-21,ORG,Microsoft
Google announced new projects starting 1994-10-02,ORG,Google
John attended a conference on 2003-04-03,PERSON,John
John attended a conference on 1993-03-30,PERSON,John
Alex attended a conference on 2009-05-03,PERSON,Alex
Google announced new projects starting 1977-02-16,ORG,Google
Alex attended a conference on 1982-10-22,PERSON,Alex
Paris will host the event in 2021-12-14,GPE,Paris
The meeting with Alex from Meta is scheduled for 2004-08-24,PERSON,Alex
The meeting with Alex from Meta is scheduled for 2004-08-24,ORG,Meta
Meta announced new projects starting 2009-03-06,ORG,Meta
Mary works at Amazon in Paris since 1997-02-18,PERSON,Mary
Mary works at Amazon in Paris since 1997-02-18,ORG,Amazon
Mary works at Amazon in Paris since 1997-02-18,GPE,Paris
London will host the event in 1976-07-10,GPE,London
Microsoft announced new projects starting 1981-01-24,ORG,Microsoft
The meeting with John from Microsoft is scheduled for 2018-11-12,PERSON,John
The meeting with John from Microsoft is scheduled for 2018-11-12,ORG,Microsoft
London will host the event in 2019-02-23,GPE,London
Alex attended a conference on 2010-09-24,PERSON,Alex
London will host the event in 2017-01-06,GPE,London
London will host the event in 1970-09-15,GPE,London
John attended a conference on 2006-01-04,PERSON,John
The meeting with John from Meta is scheduled for 2007-08-07,PERSON,John
The meeting with John from Meta is scheduled for 2007-08-07,ORG,Meta
John attended a conference on 1978-12-28,PERSON,John
John works at Meta in Tokyo since 1987-02-01,PERSON,John
John works at Meta in Tokyo since 1987-02-01,ORG,Meta
John works at Meta in Tokyo since 1987-02-01,GPE,Tokyo
Mary attended a conference on 1981-02-17,PERSON,Mary
The meeting with Alex from Google is scheduled for 2014-10-26,PERSON,Alex
The meeting with Alex from Google is scheduled for 2014-10-26,ORG,Google
Alex works at Google in New York since 2002-10-11,PERSON,Alex
Alex works at Google in New York since 2002-10-11,ORG,Google
Amazon announced new projects starting 1987-09-09,ORG,Amazon
The meeting with Mary from Microsoft is scheduled for 1991-05-18,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 1991-05-18,ORG,Microsoft
London will host the event in 2009-11-21,GPE,London
John works at Meta in London since 2000-04-14,PERSON,John
John works at Meta in London since 2000-04-14,ORG,Meta
John works at Meta in London since 2000-04-14,GPE,London
The meeting with John from Meta is scheduled for 1976-03-26,PERSON,John
The meeting with John from Meta is scheduled for 1976-03-26,ORG,Meta
Tokyo will host the event in 2011-01-02,GPE,Tokyo
Microsoft announced new projects starting 2016-08-29,ORG,Microsoft
The meeting with Sara from Meta is scheduled for 2020-11-07,PERSON,Sara
The meeting with Sara from Meta is scheduled for 2020-11-07,ORG,Meta
Mary works at Amazon in Tokyo since 1970-01-26,PERSON,Mary
Mary works at Amazon in Tokyo since 1970-01-26,ORG,Amazon
Mary works at Amazon in Tokyo since 1970-01-26,GPE,Tokyo
London will host the event in 1970-11-08,GPE,London
John works at Amazon in New York since 2008-02-25,PERSON,John
John works at Amazon in New York since 2008-02-25,ORG,Amazon
Meta announced new projects starting 2023-09-25,ORG,Meta
Alex works at Microsoft in London since 1973-01-18,PERSON,Alex
Alex works at Microsoft in London since 1973-01-18,ORG,Microsoft
Alex works at Microsoft in London since 1973-01-18,GPE,London
The meeting with Alex from Microsoft is scheduled for 1998-05-31,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 1998-05-31,ORG,Microsoft
John attended a conference on 2012-08-22,PERSON,John
Tokyo will host the event in 2002-12-02,GPE,Tokyo
Amazon announced new projects starting 1983-08-01,ORG,Amazon
Amazon announced new projects starting 1973-10-22,ORG,Amazon
Meta announced new projects starting 1999-03-02,ORG,Meta
Mary attended a conference on 1992-12-22,PERSON,Mary
Meta announced new projects starting 1974-12-16,ORG,Meta
The meeting with Sara from Meta is scheduled for 1987-02-04,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1987-02-04,ORG,Meta
The meeting with Alex from Microsoft is scheduled for 1970-12-21,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 1970-12-21,ORG,Microsoft
John works at Google in London since 1982-07-25,PERSON,John
John works at Google in London since 1982-07-25,ORG,Google
John works at Google in London since 1982-07-25,GPE,London
The meeting with Alex from Meta is scheduled for 2016-01-27,PERSON,Alex
The meeting with Alex from Meta is scheduled for 2016-01-27,ORG,Meta
The meeting with John from Microsoft is scheduled for 2011-05-06,PERSON,John
The meeting with John from Microsoft is scheduled for 2011-05-06,ORG,Microsoft
The meeting with Mary from Amazon is scheduled for 2019-11-23,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 2019-11-23,ORG,Amazon
Alex attended a conference on 1992-05-02,PERSON,Alex
Google announced new projects starting 1988-02-14,ORG,Google
Alex attended a conference on 1992-11-24,PERSON,Alex
Microsoft announced new projects starting 2009-01-24,ORG,Microsoft
Meta announced new projects starting 2008-01-11,ORG,Meta
Mary attended a conference on 2001-02-19,PERSON,Mary
Alex works at Google in London since 1983-09-13,PERSON,Alex
Alex works at Google in London since 1983-09-13,ORG,Google
Alex works at Google in London since 1983-09-13,GPE,London
Mary works at Meta in New York since 1983-07-31,PERSON,Mary
Mary works at Meta in New York since 1983-07-31,ORG,Meta
Paris will host the event in 1983-09-29,GPE,Paris
The meeting with Mary from Meta is scheduled for 1989-09-12,PERSON,Mary
The meeting with Mary from Meta is scheduled for 1989-09-12,ORG,Meta
John works at Meta in Tokyo since 2025-01-29,PERSON,John
John works at Meta in Tokyo since 2025-01-29,ORG,Meta
John works at Meta in Tokyo since 2025-01-29,GPE,Tokyo
The meeting with Sara from Google is scheduled for 2014-08-03,PERSON,Sara
The meeting with Sara from Google is scheduled for 2014-08-03,ORG,Google
The meeting with John from Meta is scheduled for 2021-08-27,PERSON,John
The meeting with John from Meta is scheduled for 2021-08-27,ORG,Meta
Alex works at Google in New York since 1986-03-20,PERSON,Alex
Alex works at Google in New York since 1986-03-20,ORG,Google
Amazon announced new projects starting 1972-04-29,ORG,Amazon
The meeting with John from Amazon is scheduled for 1970-04-17,PERSON,John
The meeting with John from Amazon is scheduled for 1970-04-17,ORG,Amazon
The meeting with John from Microsoft is scheduled for 2004-05-06,PERSON,John
The meeting with John from Microsoft is scheduled for 2004-05-06,ORG,Microsoft
John works at Microsoft in Tokyo since 2000-01-17,PERSON,John
John works at Microsoft in Tokyo since 2000-01-17,ORG,Microsoft
John works at Microsoft in Tokyo since 2000-01-17,GPE,Tokyo
The meeting with Sara from Meta is scheduled for 1988-12-24,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1988-12-24,ORG,Meta
London will host the event in 2003-11-22,GPE,London
Google announced new projects starting 1989-02-04,ORG,Google
Alex attended a conference on 1971-04-25,PERSON,Alex
Meta announced new projects starting 2016-05-22,ORG,Meta
London will host the event in 1984-10-26,GPE,London
Tokyo will host the event in 2014-03-06,GPE,Tokyo
Mary works at Meta in New York since 1978-10-03,PERSON,Mary
Mary works at Meta in New York since 1978-10-03,ORG,Meta
The meeting with Sara from Microsoft is scheduled for 2014-10-05,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2014-10-05,ORG,Microsoft
Google announced new projects starting 1995-12-29,ORG,Google
Google announced new projects starting 1985-11-27,ORG,Google
Amazon announced new projects starting 2009-12-13,ORG,Amazon
Mary works at Microsoft in New York since 2017-05-22,PERSON,Mary
Mary works at Microsoft in New York since 2017-05-22,ORG,Microsoft
Amazon announced new projects starting 1991-08-30,ORG,Amazon
John works at Microsoft in New York since 1971-11-07,PERSON,John
John works at Microsoft in New York since 1971-11-07,ORG,Microsoft
London will host the event in 2005-08-28,GPE,London
Meta announced new projects starting 2002-03-19,ORG,Meta
London will host the event in 1987-10-01,GPE,London
Alex works at Google in London since 1998-08-31,PERSON,Alex
Alex works at Google in London since 1998-08-31,ORG,Google
Alex works at Google in London since 1998-08-31,GPE,London
Mary works at Google in Paris since 2015-12-01,PERSON,Mary
Mary works at Google in Paris since 2015-12-01,ORG,Google
Mary works at Google in Paris since 2015-12-01,GPE,Paris
Mary works at Amazon in Paris since 2002-03-14,PERSON,Mary
Mary works at Amazon in Paris since 2002-03-14,ORG,Amazon
Mary works at Amazon in Paris since 2002-03-14,GPE,Paris
Alex works at Meta in Tokyo since 2007-09-04,PERSON,Alex
Alex works at Meta in Tokyo since 2007-09-04,ORG,Meta
Alex works at Meta in Tokyo since 2007-09-04,GPE,Tokyo
Tokyo will host the event in 1986-06-06,GPE,Tokyo
The meeting with Alex from Google is scheduled for 1982-06-27,PERSON,Alex
The meeting with Alex from Google is scheduled for 1982-06-27,ORG,Google
Sara attended a conference on 2002-01-13,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 1988-08-21,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 1988-08-21,ORG,Microsoft
Tokyo will host the event in 1974-09-11,GPE,Tokyo
The meeting with Mary from Google is scheduled for 2006-03-18,PERSON,Mary
The meeting with Mary from Google is scheduled for 2006-03-18,ORG,Google
Paris will host the event in 1978-01-21,GPE,Paris
Alex works at Amazon in Tokyo since 2005-06-25,PERSON,Alex
Alex works at Amazon in Tokyo since 2005-06-25,ORG,Amazon
Alex works at Amazon in Tokyo since 2005-06-25,GPE,Tokyo
The meeting with Alex from Google is scheduled for 2020-02-10,PERSON,Alex
The meeting with Alex from Google is scheduled for 2020-02-10,ORG,Google
The meeting with Alex from Microsoft is scheduled for 2007-01-09,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 2007-01-09,ORG,Microsoft
Alex works at Amazon in Paris since 2000-03-12,PERSON,Alex
Alex works at Amazon in Paris since 2000-03-12,ORG,Amazon
Alex works at Amazon in Paris since 2000-03-12,GPE,Paris
Meta announced new projects starting 1986-11-10,ORG,Meta
Meta announced new projects starting 1984-04-06,ORG,Meta
Alex works at Google in Tokyo since 1990-08-14,PERSON,Alex
Alex works at Google in Tokyo since 1990-08-14,ORG,Google
Alex works at Google in Tokyo since 1990-08-14,GPE,Tokyo
Amazon announced new projects starting 1972-05-19,ORG,Amazon
London will host the event in 1972-03-29,GPE,London
Sara works at Meta in New York since 2002-08-19,PERSON,Sara
Sara works at Meta in New York since 2002-08-19,ORG,Meta
Paris will host the event in 2017-07-11,GPE,Paris
John attended a conference on 1982-10-20,PERSON,John
John works at Amazon in Tokyo since 1989-04-08,PERSON,John
John works at Amazon in Tokyo since 1989-04-08,ORG,Amazon
John works at Amazon in Tokyo since 1989-04-08,GPE,Tokyo
London will host the event in 2013-10-15,GPE,London
The meeting with Mary from Google is scheduled for 2001-12-20,PERSON,Mary
The meeting with Mary from Google is scheduled for 2001-12-20,ORG,Google
Amazon announced new projects starting 2000-11-05,ORG,Amazon
Meta announced new projects starting 2014-02-06,ORG,Meta
Amazon announced new projects starting 1986-03-19,ORG,Amazon
Sara attended a conference on 2008-04-13,PERSON,Sara
Microsoft announced new projects starting 1999-10-28,ORG,Microsoft
The meeting with John from Meta is scheduled for 1997-11-04,PERSON,John
The meeting with John from Meta is scheduled for 1997-11-04,ORG,Meta
Sara attended a conference on 1997-07-02,PERSON,Sara
Meta announced new projects starting 2013-07-07,ORG,Meta
Google announced new projects starting 1995-11-17,ORG,Google
John works at Microsoft in Tokyo since 1978-08-23,PERSON,John
John works at Microsoft in Tokyo since 1978-08-23,ORG,Microsoft
John works at Microsoft in Tokyo since 1978-08-23,GPE,Tokyo
Mary works at Meta in London since 2008-06-15,PERSON,Mary
Mary works at Meta in London since 2008-06-15,ORG,Meta
Mary works at Meta in London since 2008-06-15,GPE,London
Alex attended a conference on 1991-04-03,PERSON,Alex
Sara attended a conference on 1999-09-01,PERSON,Sara
John attended a conference on 1981-09-25,PERSON,John
The meeting with Sara from Meta is scheduled for 1982-08-10,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1982-08-10,ORG,Meta
John works at Meta in New York since 1993-02-22,PERSON,John
John works at Meta in New York since 1993-02-22,ORG,Meta
Alex attended a conference on 2009-03-25,PERSON,Alex
Meta announced new projects starting 2011-03-11,ORG,Meta
The meeting with John from Amazon is scheduled for 1999-08-19,PERSON,John
The meeting with John from Amazon is scheduled for 1999-08-19,ORG,Amazon
John attended a conference on 1982-03-01,PERSON,John
London will host the event in 1999-11-22,GPE,London
Alex works at Microsoft in London since 2005-09-27,PERSON,Alex
Alex works at Microsoft in London since 2005-09-27,ORG,Microsoft
Alex works at Microsoft in London since 2005-09-27,GPE,London
Amazon announced new projects starting 2000-05-04,ORG,Amazon
The meeting with Alex from Meta is scheduled for 1975-01-18,PERSON,Alex
The meeting with Alex from Meta is scheduled for 1975-01-18,ORG,Meta
London will host the event in 2001-11-11,GPE,London
The meeting with Alex from Microsoft is scheduled for 2007-04-22,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 2007-04-22,ORG,Microsoft
Tokyo will host the event in 2020-07-30,GPE,Tokyo
John attended a conference on 1983-02-15,PERSON,John
The meeting with Mary from Amazon is scheduled for 1992-01-15,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 1992-01-15,ORG,Amazon
John attended a conference on 1991-07-28,PERSON,John
The meeting with Mary from Microsoft is scheduled for 2019-06-29,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 2019-06-29,ORG,Microsoft
Alex works at Google in Tokyo since 2012-04-02,PERSON,Alex
Alex works at Google in Tokyo since 2012-04-02,ORG,Google
Alex works at Google in Tokyo since 2012-04-02,GPE,Tokyo
The meeting with Mary from Microsoft is scheduled for 1995-11-26,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 1995-11-26,ORG,Microsoft
Alex works at Amazon in New York since 1997-09-26,PERSON,Alex
Alex works at Amazon in New York since 1997-09-26,ORG,Amazon
London will host the event in 1975-05-10,GPE,London
Mary works at Microsoft in Paris since 1991-05-31,PERSON,Mary
Mary works at Microsoft in Paris since 1991-05-31,ORG,Microsoft
Mary works at Microsoft in Paris since 1991-05-31,GPE,Paris
Tokyo will host the event in 1979-04-26,GPE,Tokyo
Microsoft announced new projects starting 2020-09-14,ORG,Microsoft
John attended a conference on 2012-08-12,PERSON,John
The meeting with Sara from Microsoft is scheduled for 2016-08-28,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2016-08-28,ORG,Microsoft
The meeting with Mary from Google is scheduled for 2008-06-17,PERSON,Mary
The meeting with Mary from Google is scheduled for 2008-06-17,ORG,Google
John attended a conference on 1976-06-29,PERSON,John
John attended a conference on 2000-03-03,PERSON,John
Microsoft announced new projects starting 2018-06-28,ORG,Microsoft
Alex attended a conference on 1998-10-29,PERSON,Alex
Meta announced new projects starting 2009-08-23,ORG,Meta
The meeting with Mary from Google is scheduled for 1984-08-01,PERSON,Mary
The meeting with Mary from Google is scheduled for 1984-08-01,ORG,Google
The meeting with Sara from Google is scheduled for 1995-07-11,PERSON,Sara
The meeting with Sara from Google is scheduled for 1995-07-11,ORG,Google
The meeting with Sara from Meta is scheduled for 1996-02-14,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1996-02-14,ORG,Meta
Mary attended a conference on 2012-01-06,PERSON,Mary
John attended a conference on 1992-05-30,PERSON,John
The meeting with Mary from Google is scheduled for 2007-08-22,PERSON,Mary
The meeting with Mary from Google is scheduled for 2007-08-22,ORG,Google
Alex works at Amazon in Paris since 1992-10-20,PERSON,Alex
Alex works at Amazon in Paris since 1992-10-20,ORG,Amazon
Alex works at Amazon in Paris since 1992-10-20,GPE,Paris
